"Airline","Date_of_Journey","Source","Destination","Route","Dep_Time","Arrival_Time","Duration","Total_Stops","Additional_Info","Price"
"Air India","2020-07-29","Banglore","Mumbai","BAN --> CHE --> MUM","14:45:00","20:15:00","5h 30m","1 stop","Business class",4010
"Vistara","2020-07-29","Delhi","Banglore","DEL --> HYD --> MUM --> BAN","09:45:00","18:30:00","8h 45m","2 stops","No check-in baggage included",3671
"IndiGo","2020-07-30","Hyderabad","Chennai","HYD --> DEL --> CHE","08:30:00","13:15:00","4h 45m","1 stop","No info",11760
"Vistara","2020-07-30","Cochin","Delhi","COC --> DEL","12:00:00","15:30:00","3h 30m","non-stop","No info",8126
"Air India","2020-07-30","Delhi","Hyderabad","DEL --> HYD","05:15:00","07:30:00","2h 15m","non-stop","Business class",3440
"IndiGo","2020-07-30","Kolkata","Mumbai","KOL --> DEL --> CHE --> MUM","06:15:00","12:15:00","6h 0m","2 stops","Business class",6712
"IndiGo","2020-07-30","Mumbai","Banglore","MUM --> DEL --> HYD --> BAN","19:15:00","04:45:00","9h 30m","2 stops","Change airports",3190
"Jet Airways","2020-07-30","Hyderabad","Banglore","HYD --> DEL --> MUM --> BAN","11:15:00","19:30:00","8h 15m","2 stops","Business class",10945
"IndiGo","2020-07-30","Banglore","Hyderabad","BAN --> DEL --> HYD","05:00:00","09:30:00","4h 30m","1 stop","Business class",6666
"Air India","2020-07-30","Banglore","Delhi","BAN --> CHE --> COC --> DEL","20:00:00","02:30:00","6h 30m","2 stops","Change airports",10056
"GoAir","2020-07-30","Chennai","Delhi","CHE --> COC --> BAN --> DEL","20:15:00","05:00:00","8h 45m","2 stops","No info",3245
"Vistara","2020-07-30","Banglore","Mumbai","BAN --> MUM","10:15:00","13:30:00","3h 15m","non-stop","In-flight meal not included",4786
"IndiGo","2020-07-30","Kolkata","Delhi","KOL --> DEL","17:30:00","18:45:00","1h 15m","non-stop","Red-eye flight",8784
"SpiceJet","2020-07-30","Mumbai","Delhi","MUM --> DEL","13:00:00","14:00:00","1h 0m","non-stop","Business class",7822
"Vistara","2020-07-30","Chennai","Banglore","CHE --> BAN","17:45:00","21:00:00","3h 15m","non-stop","In-flight meal not included",4298
"IndiGo","2020-07-30","Cochin","Banglore","COC --> BAN","18:30:00","21:30:00","3h 0m","non-stop","In-flight meal not included",4036
"IndiGo","2020-07-31","Chennai","Kolkata","CHE --> MUM --> COC --> KOL","13:30:00","22:30:00","9h 0m","2 stops","No check-in baggage included",12683
"Akasa Air","2020-07-31","Chennai","Banglore","CHE --> MUM --> COC --> BAN","21:45:00","05:15:00","7h 30m","2 stops","Red-eye flight",4115
"GoAir","2020-07-31","Hyderabad","Mumbai","HYD --> DEL --> MUM","12:15:00","16:00:00","3h 45m","1 stop","Red-eye flight",8198
"GoAir","2020-07-31","Delhi","Cochin","DEL --> COC","18:30:00","22:00:00","3h 30m","non-stop","Business class",9480
"IndiGo","2020-07-31","Chennai","Mumbai","CHE --> KOL --> COC --> MUM","10:45:00","20:00:00","9h 15m","2 stops","Change airports",8056
"Air India","2020-07-31","Mumbai","Delhi","MUM --> BAN --> DEL","13:00:00","17:00:00","4h 0m","1 stop","No info",6052
"IndiGo","2020-07-31","Mumbai","Banglore","MUM --> HYD --> BAN","13:15:00","17:00:00","3h 45m","1 stop","Red-eye flight",8448
"Air India","2020-08-01","Kolkata","Banglore","KOL --> BAN","21:45:00","22:45:00","1h 0m","non-stop","Business class",14843
"Akasa Air","2020-08-01","Mumbai","Hyderabad","MUM --> HYD","07:15:00","09:30:00","2h 15m","non-stop","In-flight meal not included",13527
"Air India","2020-08-01","Kolkata","Cochin","KOL --> HYD --> BAN --> COC","21:45:00","07:00:00","9h 15m","2 stops","Change airports",12143
"IndiGo","2020-08-01","Banglore","Chennai","BAN --> CHE","19:45:00","22:15:00","2h 30m","non-stop","Red-eye flight",5919
"SpiceJet","2020-08-01","Chennai","Kolkata","CHE --> DEL --> BAN --> KOL","08:30:00","14:30:00","6h 0m","2 stops","Business class",13445
"Air India","2020-08-01","Mumbai","Kolkata","MUM --> CHE --> DEL --> KOL","20:45:00","04:00:00","7h 15m","2 stops","In-flight meal not included",5749
"GoAir","2020-08-01","Delhi","Mumbai","DEL --> MUM","19:45:00","20:45:00","1h 0m","non-stop","In-flight meal not included",11979
"Jet Airways Business","2020-08-02","Cochin","Delhi","COC --> DEL","16:00:00","19:30:00","3h 30m","non-stop","In-flight meal not included",5601
"IndiGo","2020-08-02","Hyderabad","Mumbai","HYD --> DEL --> MUM","09:30:00","14:30:00","5h 0m","1 stop","In-flight meal not included",10272
"IndiGo","2020-08-02","Delhi","Banglore","DEL --> BAN","21:00:00","22:00:00","1h 0m","non-stop","No check-in baggage included",10020
"SpiceJet","2020-08-02","Chennai","Cochin","CHE --> COC","11:30:00","14:30:00","3h 0m","non-stop","No check-in baggage included",11249
"IndiGo","2020-08-02","Banglore","Chennai","BAN --> HYD --> CHE","19:45:00","01:45:00","6h 0m","1 stop","No info",3630
"Vistara","2020-08-02","Mumbai","Chennai","MUM --> DEL --> CHE","06:00:00","12:45:00","6h 45m","1 stop","No check-in baggage included",14650
"IndiGo","2020-08-03","Mumbai","Delhi","MUM --> DEL","19:00:00","21:00:00","2h 0m","non-stop","In-flight meal not included",8448
"Vistara","2020-08-03","Kolkata","Banglore","KOL --> MUM --> HYD --> BAN","20:00:00","04:15:00","8h 15m","2 stops","No info",6831
"Air Asia","2020-08-03","Chennai","Delhi","CHE --> DEL","10:00:00","12:30:00","2h 30m","non-stop","No check-in baggage included",13841
"SpiceJet","2020-08-03","Chennai","Mumbai","CHE --> COC --> KOL --> MUM","13:30:00","22:30:00","9h 0m","2 stops","In-flight meal not included",4557
"SpiceJet","2020-08-03","Hyderabad","Kolkata","HYD --> KOL","10:00:00","11:15:00","1h 15m","non-stop","No info",14666
"Vistara","2020-08-03","Mumbai","Banglore","MUM --> BAN","10:00:00","13:30:00","3h 30m","non-stop","Business class",13041
"Akasa Air","2020-08-04","Delhi","Hyderabad","DEL --> BAN --> HYD","19:45:00","01:30:00","5h 45m","1 stop","Change airports",6957
"Vistara Premium economy","2020-08-04","Banglore","Cochin","BAN --> MUM --> COC","06:30:00","11:15:00","4h 45m","1 stop","Business class",12798
"Air India","2020-08-04","Cochin","Banglore","COC --> KOL --> HYD --> BAN","13:15:00","22:00:00","8h 45m","2 stops","In-flight meal not included",5323
"Air India","2020-08-04","Cochin","Delhi","COC --> DEL","11:45:00","14:45:00","3h 0m","non-stop","No check-in baggage included",5535
"Vistara","2020-08-04","Cochin","Chennai","COC --> HYD --> KOL --> CHE","05:15:00","11:30:00","6h 15m","2 stops","Red-eye flight",7599
"Trujet","2020-08-04","Banglore","Hyderabad","BAN --> COC --> DEL --> HYD","09:00:00","16:00:00","7h 0m","2 stops","No check-in baggage included",10783
"IndiGo","2020-08-04","Mumbai","Delhi","MUM --> DEL","15:30:00","16:30:00","1h 0m","non-stop","Business class",5321
"GoAir","2020-08-05","Chennai","Mumbai","CHE --> DEL --> HYD --> MUM","19:00:00","01:00:00","6h 0m","2 stops","No info",6985
"IndiGo","2020-08-05","Delhi","Mumbai","DEL --> MUM","05:00:00","07:30:00","2h 30m","non-stop","No check-in baggage included",14499
"Air India","2020-08-05","Kolkata","Mumbai","KOL --> BAN --> HYD --> MUM","18:00:00","00:30:00","6h 30m","2 stops","Change airports",9491
"IndiGo","2020-08-05","Delhi","Chennai","DEL --> CHE","17:30:00","20:00:00","2h 30m","non-stop","Red-eye flight",12667
"Jet Airways","2020-08-05","Kolkata","Chennai","KOL --> CHE","17:45:00","20:45:00","3h 0m","non-stop","Business class",11919
"SpiceJet","2020-08-05","Chennai","Delhi","CHE --> HYD --> KOL --> DEL","20:15:00","02:45:00","6h 30m","2 stops","Red-eye flight",8491
"Akasa Air","2020-08-06","Banglore","Delhi","BAN --> CHE --> DEL","20:00:00","00:15:00","4h 15m","1 stop","Change airports",11581
"IndiGo","2020-08-06","Banglore","Chennai","BAN --> CHE","10:00:00","11:00:00","1h 0m","non-stop","No info",14306
"SpiceJet","2020-08-06","Hyderabad","Delhi","HYD --> DEL","07:00:00","10:30:00","3h 30m","non-stop","1 Long layover",11437
"IndiGo","2020-08-06","Kolkata","Banglore","KOL --> CHE --> BAN","05:45:00","12:00:00","6h 15m","1 stop","Red-eye flight",13186
"IndiGo","2020-08-06","Mumbai","Kolkata","MUM --> KOL","21:30:00","23:00:00","1h 30m","non-stop","Change airports",4978
"Vistara","2020-08-06","Banglore","Hyderabad","BAN --> KOL --> CHE --> HYD","13:45:00","23:30:00","9h 45m","2 stops","Change airports",3267
"IndiGo","2020-08-06","Mumbai","Delhi","MUM --> DEL","07:15:00","10:30:00","3h 15m","non-stop","No check-in baggage included",6688
"Vistara Premium economy","2020-08-06","Banglore","Mumbai","BAN --> KOL --> COC --> MUM","19:15:00","03:15:00","8h 0m","2 stops","1 Long layover",11788
"Air India","2020-08-06","Mumbai","Chennai","MUM --> BAN --> CHE","05:00:00","10:30:00","5h 30m","1 stop","In-flight meal not included",3061
"IndiGo","2020-08-06","Delhi","Mumbai","DEL --> MUM","14:15:00","17:45:00","3h 30m","non-stop","Red-eye flight",7023
"Air Asia","2020-08-07","Delhi","Banglore","DEL --> COC --> BAN","06:45:00","11:45:00","5h 0m","1 stop","No check-in baggage included",11622
"SpiceJet","2020-08-07","Chennai","Delhi","CHE --> MUM --> DEL","21:15:00","03:45:00","6h 30m","1 stop","In-flight meal not included",8835
"Air India","2020-08-07","Banglore","Cochin","BAN --> COC","07:00:00","09:30:00","2h 30m","non-stop","No check-in baggage included",6880
"Multiple carriers Premium economy","2020-08-07","Kolkata","Hyderabad","KOL --> CHE --> DEL --> HYD","11:15:00","17:45:00","6h 30m","2 stops","1 Long layover",9525
"Air India","2020-08-07","Hyderabad","Banglore","HYD --> CHE --> COC --> BAN","21:30:00","06:45:00","9h 15m","2 stops","In-flight meal not included",8463
"IndiGo","2020-08-07","Chennai","Kolkata","CHE --> KOL","11:00:00","14:00:00","3h 0m","non-stop","1 Long layover",6251
"Akasa Air","2020-08-07","Mumbai","Chennai","MUM --> HYD --> BAN --> CHE","09:15:00","15:45:00","6h 30m","2 stops","1 Long layover",7152
"Vistara","2020-08-07","Banglore","Delhi","BAN --> DEL","18:30:00","20:00:00","1h 30m","non-stop","Change airports",6158
"IndiGo","2020-08-07","Delhi","Chennai","DEL --> BAN --> CHE","09:15:00","14:45:00","5h 30m","1 stop","Change airports",11940
"SpiceJet","2020-08-08","Kolkata","Mumbai","KOL --> MUM","08:15:00","11:15:00","3h 0m","non-stop","No info",13278
"Vistara","2020-08-08","Mumbai","Delhi","MUM --> KOL --> COC --> DEL","21:00:00","05:00:00","8h 0m","2 stops","Change airports",13275
"IndiGo","2020-08-08","Mumbai","Chennai","MUM --> BAN --> KOL --> CHE","15:00:00","00:15:00","9h 15m","2 stops","Red-eye flight",10483
"IndiGo","2020-08-08","Banglore","Kolkata","BAN --> MUM --> HYD --> KOL","17:45:00","00:45:00","7h 0m","2 stops","No check-in baggage included",5110
"Vistara","2020-08-08","Delhi","Banglore","DEL --> MUM --> BAN","20:15:00","00:00:00","3h 45m","1 stop","No check-in baggage included",7665
"IndiGo","2020-08-08","Delhi","Kolkata","DEL --> KOL","09:15:00","12:15:00","3h 0m","non-stop","Change airports",14737
"IndiGo","2020-08-08","Mumbai","Kolkata","MUM --> BAN --> CHE --> KOL","06:45:00","13:45:00","7h 0m","2 stops","Business class",7257
"Vistara","2020-08-09","Banglore","Cochin","BAN --> MUM --> COC","12:00:00","16:15:00","4h 15m","1 stop","No check-in baggage included",10611
"Air India","2020-08-09","Chennai","Mumbai","CHE --> COC --> HYD --> MUM","07:00:00","16:45:00","9h 45m","2 stops","Business class",6122
"SpiceJet","2020-08-09","Kolkata","Mumbai","KOL --> CHE --> COC --> MUM","07:30:00","15:45:00","8h 15m","2 stops","No info",7779
"Vistara","2020-08-09","Mumbai","Hyderabad","MUM --> HYD","17:15:00","20:30:00","3h 15m","non-stop","No check-in baggage included",3702
"Air India","2020-08-09","Hyderabad","Kolkata","HYD --> KOL","08:00:00","10:00:00","2h 0m","non-stop","No check-in baggage included",10262
"Air Asia","2020-08-09","Chennai","Delhi","CHE --> BAN --> DEL","12:45:00","16:45:00","4h 0m","1 stop","Change airports",6494
"Vistara","2020-08-09","Delhi","Cochin","DEL --> KOL --> COC","17:45:00","21:00:00","3h 15m","1 stop","1 Long layover",5130
"GoAir","2020-08-10","Chennai","Kolkata","CHE --> HYD --> MUM --> KOL","13:30:00","22:30:00","9h 0m","2 stops","Red-eye flight",6745
"IndiGo","2020-08-10","Hyderabad","Delhi","HYD --> COC --> BAN --> DEL","10:15:00","18:30:00","8h 15m","2 stops","1 Long layover",8761
"IndiGo","2020-08-10","Banglore","Mumbai","BAN --> HYD --> CHE --> MUM","05:30:00","12:15:00","6h 45m","2 stops","In-flight meal not included",3088
"IndiGo","2020-08-10","Cochin","Banglore","COC --> BAN","12:45:00","16:00:00","3h 15m","non-stop","Red-eye flight",9138
"GoAir","2020-08-10","Hyderabad","Kolkata","HYD --> CHE --> KOL","05:30:00","09:00:00","3h 30m","1 stop","Change airports",10280
"IndiGo","2020-08-10","Cochin","Chennai","COC --> BAN --> HYD --> CHE","05:15:00","12:45:00","7h 30m","2 stops","Change airports",3553
"SpiceJet","2020-08-10","Mumbai","Banglore","MUM --> BAN","17:45:00","20:45:00","3h 0m","non-stop","No info",14883
"SpiceJet","2020-08-10","Hyderabad","Mumbai","HYD --> DEL --> MUM","08:30:00","15:00:00","6h 30m","1 stop","No check-in baggage included",8797
"IndiGo","2020-08-10","Chennai","Mumbai","CHE --> DEL --> MUM","15:30:00","19:00:00","3h 30m","1 stop","No info",10810
"Trujet","2020-08-10","Mumbai","Delhi","MUM --> HYD --> DEL","07:15:00","11:30:00","4h 15m","1 stop","Business class",4247
"Air India","2020-08-10","Chennai","Hyderabad","CHE --> DEL --> MUM --> HYD","11:15:00","19:00:00","7h 45m","2 stops","Change airports",11876
"Air India","2020-08-11","Banglore","Delhi","BAN --> DEL","19:30:00","21:45:00","2h 15m","non-stop","1 Long layover",12267
"Air India","2020-08-11","Hyderabad","Mumbai","HYD --> DEL --> CHE --> MUM","08:15:00","15:00:00","6h 45m","2 stops","Red-eye flight",9670
"GoAir","2020-08-11","Kolkata","Delhi","KOL --> MUM --> DEL","07:45:00","12:15:00","4h 30m","1 stop","No check-in baggage included",14276
"IndiGo","2020-08-11","Hyderabad","Kolkata","HYD --> BAN --> COC --> KOL","12:30:00","18:45:00","6h 15m","2 stops","Change airports",9562
"IndiGo","2020-08-11","Banglore","Chennai","BAN --> KOL --> HYD --> CHE","16:15:00","00:30:00","8h 15m","2 stops","Change airports",13652
"SpiceJet","2020-08-11","Mumbai","Banglore","MUM --> BAN","05:00:00","06:15:00","1h 15m","non-stop","In-flight meal not included",7666
"IndiGo","2020-08-11","Chennai","Banglore","CHE --> HYD --> KOL --> BAN","19:30:00","02:30:00","7h 0m","2 stops","1 Long layover",5442
"Vistara","2020-08-11","Chennai","Kolkata","CHE --> KOL","06:00:00","07:15:00","1h 15m","non-stop","1 Long layover",13052
"Jet Airways Business","2020-08-11","Hyderabad","Delhi","HYD --> KOL --> BAN --> DEL","18:30:00","01:15:00","6h 45m","2 stops","In-flight meal not included",8606
"Vistara","2020-08-11","Cochin","Chennai","COC --> CHE","17:30:00","20:30:00","3h 0m","non-stop","Business class",13322
"Air India","2020-08-11","Chennai","Delhi","CHE --> BAN --> HYD --> DEL","15:45:00","23:45:00","8h 0m","2 stops","Business class",7684
"IndiGo","2020-08-11","Mumbai","Chennai","MUM --> CHE","12:15:00","14:45:00","2h 30m","non-stop","In-flight meal not included",13325
"SpiceJet","2020-08-12","Kolkata","Delhi","KOL --> COC --> BAN --> DEL","13:00:00","21:30:00","8h 30m","2 stops","Change airports",14653
"Vistara","2020-08-12","Mumbai","Chennai","MUM --> KOL --> CHE","15:00:00","20:00:00","5h 0m","1 stop","No check-in baggage included",8740
"Vistara Premium economy","2020-08-12","Mumbai","Kolkata","MUM --> KOL","05:45:00","06:45:00","1h 0m","non-stop","Business class",9188
"IndiGo","2020-08-12","Banglore","Mumbai","BAN --> MUM","20:00:00","23:30:00","3h 30m","non-stop","1 Long layover",8988
"Vistara","2020-08-12","Hyderabad","Banglore","HYD --> BAN","19:00:00","20:00:00","1h 0m","non-stop","In-flight meal not included",5522
"Air India","2020-08-13","Mumbai","Delhi","MUM --> BAN --> CHE --> DEL","14:30:00","22:15:00","7h 45m","2 stops","No info",5612
"Air Asia","2020-08-13","Mumbai","Chennai","MUM --> BAN --> COC --> CHE","18:30:00","03:30:00","9h 0m","2 stops","Red-eye flight",9230
"GoAir","2020-08-13","Hyderabad","Mumbai","HYD --> KOL --> MUM","20:00:00","01:15:00","5h 15m","1 stop","No check-in baggage included",7025
"SpiceJet","2020-08-13","Banglore","Mumbai","BAN --> KOL --> HYD --> MUM","08:30:00","17:15:00","8h 45m","2 stops","1 Long layover",5093
"IndiGo","2020-08-13","Mumbai","Banglore","MUM --> HYD --> COC --> BAN","08:15:00","15:00:00","6h 45m","2 stops","1 Long layover",5513
"GoAir","2020-08-13","Delhi","Chennai","DEL --> BAN --> CHE","10:00:00","14:30:00","4h 30m","1 stop","No info",3290
"Jet Airways Business","2020-08-13","Mumbai","Hyderabad","MUM --> COC --> DEL --> HYD","06:15:00","14:45:00","8h 30m","2 stops","Change airports",14881
"IndiGo","2020-08-13","Delhi","Hyderabad","DEL --> CHE --> HYD","21:15:00","00:30:00","3h 15m","1 stop","1 Long layover",13750
"Akasa Air","2020-08-13","Delhi","Mumbai","DEL --> BAN --> MUM","18:30:00","21:30:00","3h 0m","1 stop","No check-in baggage included",3308
"GoAir","2020-08-13","Cochin","Mumbai","COC --> BAN --> MUM","14:45:00","19:15:00","4h 30m","1 stop","Change airports",7424
"IndiGo","2020-08-14","Banglore","Mumbai","BAN --> DEL --> KOL --> MUM","09:00:00","17:45:00","8h 45m","2 stops","Change airports",14636
"Air Asia","2020-08-14","Delhi","Banglore","DEL --> MUM --> BAN","14:15:00","19:15:00","5h 0m","1 stop","Business class",11523
"Air Asia","2020-08-14","Hyderabad","Delhi","HYD --> DEL","07:30:00","09:45:00","2h 15m","non-stop","No check-in baggage included",9536
"Vistara","2020-08-14","Cochin","Mumbai","COC --> KOL --> CHE --> MUM","17:30:00","03:15:00","9h 45m","2 stops","No check-in baggage included",7578
"IndiGo","2020-08-14","Banglore","Chennai","BAN --> CHE","14:15:00","17:15:00","3h 0m","non-stop","1 Long layover",6053
"SpiceJet","2020-08-14","Kolkata","Cochin","KOL --> DEL --> COC","05:45:00","11:30:00","5h 45m","1 stop","Business class",9994
"Air Asia","2020-08-14","Delhi","Mumbai","DEL --> CHE --> MUM","16:45:00","20:30:00","3h 45m","1 stop","In-flight meal not included",11916
"IndiGo","2020-08-14","Mumbai","Kolkata","MUM --> CHE --> COC --> KOL","15:00:00","23:15:00","8h 15m","2 stops","Red-eye flight",3857
"IndiGo","2020-08-14","Chennai","Hyderabad","CHE --> MUM --> DEL --> HYD","09:30:00","16:00:00","6h 30m","2 stops","In-flight meal not included",10821
"Akasa Air","2020-08-15","Delhi","Cochin","DEL --> COC","10:30:00","11:45:00","1h 15m","non-stop","Business class",4727
"IndiGo","2020-08-15","Mumbai","Banglore","MUM --> COC --> HYD --> BAN","09:00:00","17:30:00","8h 30m","2 stops","No check-in baggage included",4909
"Vistara","2020-08-15","Cochin","Mumbai","COC --> BAN --> HYD --> MUM","15:00:00","00:45:00","9h 45m","2 stops","In-flight meal not included",10487
"Multiple carriers","2020-08-15","Hyderabad","Kolkata","HYD --> KOL","18:30:00","20:45:00","2h 15m","non-stop","No info",10810
"Akasa Air","2020-08-15","Chennai","Banglore","CHE --> HYD --> DEL --> BAN","12:30:00","20:15:00","7h 45m","2 stops","No info",13035
"GoAir","2020-08-15","Chennai","Hyderabad","CHE --> DEL --> COC --> HYD","09:30:00","19:00:00","9h 30m","2 stops","No info",12718
"Air India","2020-08-15","Hyderabad","Cochin","HYD --> BAN --> MUM --> COC","18:00:00","01:00:00","7h 0m","2 stops","Business class",10527
"Akasa Air","2020-08-16","Chennai","Hyderabad","CHE --> HYD","12:00:00","14:15:00","2h 15m","non-stop","Red-eye flight",12750
"Jet Airways","2020-08-16","Chennai","Delhi","CHE --> HYD --> MUM --> DEL","17:15:00","23:30:00","6h 15m","2 stops","Change airports",7426
"Vistara","2020-08-16","Delhi","Kolkata","DEL --> CHE --> KOL","08:00:00","11:30:00","3h 30m","1 stop","Change airports",5925
"IndiGo","2020-08-16","Delhi","Cochin","DEL --> BAN --> COC","07:00:00","13:30:00","6h 30m","1 stop","No check-in baggage included",8961
"GoAir","2020-08-16","Banglore","Mumbai","BAN --> DEL --> KOL --> MUM","05:00:00","11:00:00","6h 0m","2 stops","Change airports",6584
"Air India","2020-08-16","Banglore","Kolkata","BAN --> DEL --> COC --> KOL","14:00:00","20:30:00","6h 30m","2 stops","Business class",3101
"Trujet","2020-08-16","Mumbai","Banglore","MUM --> KOL --> COC --> BAN","17:30:00","23:45:00","6h 15m","2 stops","Red-eye flight",12973
"IndiGo","2020-08-16","Delhi","Banglore","DEL --> COC --> KOL --> BAN","16:30:00","23:15:00","6h 45m","2 stops","No info",10580
"Vistara","2020-08-16","Mumbai","Kolkata","MUM --> HYD --> CHE --> KOL","09:45:00","18:15:00","8h 30m","2 stops","In-flight meal not included",7957
"SpiceJet","2020-08-17","Hyderabad","Delhi","HYD --> KOL --> MUM --> DEL","21:30:00","03:45:00","6h 15m","2 stops","Change airports",10579
"Jet Airways","2020-08-17","Mumbai","Cochin","MUM --> COC","15:15:00","18:30:00","3h 15m","non-stop","No info",14265
"Akasa Air","2020-08-17","Delhi","Kolkata","DEL --> BAN --> CHE --> KOL","14:45:00","20:45:00","6h 0m","2 stops","No info",7971
"IndiGo","2020-08-17","Chennai","Banglore","CHE --> KOL --> HYD --> BAN","15:45:00","22:15:00","6h 30m","2 stops","1 Long layover",4994
"Vistara Premium economy","2020-08-17","Banglore","Chennai","BAN --> CHE","15:30:00","18:45:00","3h 15m","non-stop","Change airports",12349
"IndiGo","2020-08-17","Mumbai","Hyderabad","MUM --> COC --> BAN --> HYD","19:00:00","02:45:00","7h 45m","2 stops","1 Long layover",9824
"Akasa Air","2020-08-17","Chennai","Delhi","CHE --> DEL","14:00:00","16:00:00","2h 0m","non-stop","Change airports",10023
"IndiGo","2020-08-17","Mumbai","Kolkata","MUM --> HYD --> KOL","08:15:00","12:30:00","4h 15m","1 stop","Change airports",11747
"Air India","2020-08-18","Hyderabad","Banglore","HYD --> MUM --> CHE --> BAN","11:00:00","19:45:00","8h 45m","2 stops","Change airports",12981
"IndiGo","2020-08-18","Banglore","Mumbai","BAN --> CHE --> COC --> MUM","20:15:00","02:15:00","6h 0m","2 stops","Change airports",6650
"Vistara","2020-08-18","Banglore","Chennai","BAN --> COC --> HYD --> CHE","09:00:00","18:00:00","9h 0m","2 stops","In-flight meal not included",14119
"SpiceJet","2020-08-18","Delhi","Banglore","DEL --> KOL --> COC --> BAN","11:30:00","18:15:00","6h 45m","2 stops","Red-eye flight",6989
"IndiGo","2020-08-18","Cochin","Delhi","COC --> HYD --> CHE --> DEL","20:30:00","06:00:00","9h 30m","2 stops","No check-in baggage included",11270
"Air India","2020-08-18","Kolkata","Mumbai","KOL --> CHE --> HYD --> MUM","21:30:00","06:15:00","8h 45m","2 stops","No check-in baggage included",11087
"GoAir","2020-08-18","Delhi","Mumbai","DEL --> COC --> MUM","12:45:00","17:30:00","4h 45m","1 stop","1 Long layover",8082
"SpiceJet","2020-08-18","Delhi","Kolkata","DEL --> MUM --> COC --> KOL","17:00:00","23:45:00","6h 45m","2 stops","Change airports",6696
"Air India","2020-08-18","Mumbai","Banglore","MUM --> CHE --> KOL --> BAN","05:15:00","15:00:00","9h 45m","2 stops","Change airports",11403
"GoAir","2020-08-18","Chennai","Banglore","CHE --> MUM --> BAN","10:00:00","15:30:00","5h 30m","1 stop","No check-in baggage included",6967
"IndiGo","2020-08-18","Delhi","Hyderabad","DEL --> CHE --> HYD","17:00:00","21:00:00","4h 0m","1 stop","No check-in baggage included",9938
"IndiGo","2020-08-19","Mumbai","Delhi","MUM --> HYD --> DEL","20:15:00","02:00:00","5h 45m","1 stop","Business class",9670
"IndiGo","2020-08-19","Hyderabad","Mumbai","HYD --> KOL --> CHE --> MUM","11:45:00","19:15:00","7h 30m","2 stops","No info",12763
"IndiGo","2020-08-19","Banglore","Mumbai","BAN --> COC --> CHE --> MUM","16:45:00","02:00:00","9h 15m","2 stops","Business class",14778
"GoAir","2020-08-19","Banglore","Delhi","BAN --> MUM --> CHE --> DEL","15:00:00","00:00:00","9h 0m","2 stops","Red-eye flight",4324
"IndiGo","2020-08-19","Chennai","Delhi","CHE --> COC --> HYD --> DEL","06:45:00","16:30:00","9h 45m","2 stops","1 Long layover",14752
"Vistara","2020-08-19","Chennai","Mumbai","CHE --> HYD --> BAN --> MUM","15:15:00","00:45:00","9h 30m","2 stops","Red-eye flight",10723
"Vistara","2020-08-20","Hyderabad","Chennai","HYD --> KOL --> BAN --> CHE","17:00:00","01:15:00","8h 15m","2 stops","Business class",10432
"IndiGo","2020-08-20","Mumbai","Chennai","MUM --> CHE","17:15:00","20:30:00","3h 15m","non-stop","Business class",4805
"IndiGo","2020-08-20","Kolkata","Chennai","KOL --> HYD --> COC --> CHE","19:00:00","04:00:00","9h 0m","2 stops","No info",5256
"Air India","2020-08-20","Chennai","Banglore","CHE --> HYD --> MUM --> BAN","13:15:00","20:15:00","7h 0m","2 stops","No info",13455
"IndiGo","2020-08-20","Mumbai","Banglore","MUM --> BAN","20:45:00","23:15:00","2h 30m","non-stop","In-flight meal not included",11301
"GoAir","2020-08-20","Kolkata","Delhi","KOL --> MUM --> DEL","08:15:00","13:15:00","5h 0m","1 stop","Change airports",12206
"IndiGo","2020-08-20","Delhi","Hyderabad","DEL --> MUM --> BAN --> HYD","13:30:00","22:45:00","9h 15m","2 stops","Business class",6592
"SpiceJet","2020-08-20","Delhi","Kolkata","DEL --> HYD --> KOL","08:45:00","14:00:00","5h 15m","1 stop","1 Long layover",11926
"IndiGo","2020-08-21","Kolkata","Banglore","KOL --> MUM --> BAN","18:30:00","22:30:00","4h 0m","1 stop","Red-eye flight",8683
"IndiGo","2020-08-21","Delhi","Mumbai","DEL --> MUM","14:15:00","16:30:00","2h 15m","non-stop","No info",14587
"Air India","2020-08-21","Banglore","Mumbai","BAN --> MUM","15:30:00","18:00:00","2h 30m","non-stop","Change airports",9348
"GoAir","2020-08-21","Delhi","Chennai","DEL --> KOL --> COC --> CHE","15:45:00","23:30:00","7h 45m","2 stops","In-flight meal not included",3350
"GoAir","2020-08-21","Mumbai","Cochin","MUM --> CHE --> COC","20:00:00","00:15:00","4h 15m","1 stop","Business class",10257
"IndiGo","2020-08-21","Mumbai","Delhi","MUM --> BAN --> DEL","21:45:00","02:30:00","4h 45m","1 stop","No info",9523
"Vistara","2020-08-21","Hyderabad","Banglore","HYD --> KOL --> BAN","20:45:00","00:15:00","3h 30m","1 stop","1 Long layover",14755
"IndiGo","2020-08-21","Chennai","Mumbai","CHE --> KOL --> COC --> MUM","07:30:00","14:30:00","7h 0m","2 stops","No info",14888
"Jet Airways Business","2020-08-21","Cochin","Delhi","COC --> MUM --> KOL --> DEL","18:30:00","03:30:00","9h 0m","2 stops","No check-in baggage included",5140
"Vistara","2020-08-21","Delhi","Banglore","DEL --> HYD --> MUM --> BAN","06:45:00","15:00:00","8h 15m","2 stops","1 Long layover",5708
